Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Adorables démons		CLOCHE Maurice	NB / scope / 88mn	1957 / F	 / Films Maurice Cloche - La croix du sud (Maurice Cloche)	com.	Jean Poiret, Michel Serrault, Rellys, Albert Préjean, Michel Galinine, Yves Massard, Claude Piéplu, 	Claudine Dupuis, Dora Doll, Georgette Anys, Nita Saint-Peyron, 	Bon+. Un nanard qui démarre plaisamment sur une demi-heure puis perd un peu sa carburation. Heureusement peuplé de “petites femmes”, comme le voulait le genre et l’époque, le film reprend un peu de tonus quand Piéplu nous fait son numéro de psychiatre plus fou que ses malades. Le duo Poiret-Serrault est aux petits oignons et on croit sentir pas mal de ces séquences improvisées qu’ils privilégiaient... une perle parmi d’autres : “Je suis pas ta nounou” - “Non, tu es mon aîné”	Maurice Cloche + George Raevsky + Michel de Castelbajac		Jacques Mercanton	Paul Bonneau	
Confessions of a Dangerous Mind	Confessions d'un homme dangereux	CLOONEY George	Coul. / Panavision / 113mn	2002 / USA	 / Miramax Mad Chance - Section Eight. (Andrew Lazar)	com. dr., pol.	Sam Rockwell, Michael Céra, Sean Tucker, Jaye P. Morgan, David Hirsh, Jerry Weintraub, George Clooney, Rutger Hauer, Frank Fontaine, Gene Gene Patton, Robert John Burke, Daniel Zacapa, Emilio Rivera, Brad Pitt, Matt Damon, Dick Clark, 	Michelle Sweeney, Drew Barrymore, Julia Roberts, Chelsea Ceci, Aimee Rose Ambroziak, Isabelle Blais, Melissa Carter, Jennifer Hall, Ilona Elkin, Maggie Gyllenhaal, Rachelle Lefevre, 	Bon+. Le récit désagréable dans le fond comme dans la forme de la carrière d’un présentateur de télé populiste doublé d’un possible agent de la CIA. Le découpage est aussi laid que les personnages et la mise en scène (volontaire) et ne fait rien pour engendrer l’intérêt ou la sympathie? Clooney a fait ici un choix volontairement gênant et au final pas payant.	George Clooney + Grant Heslov	livre de Chuck Barris	Newton Thomas Sigel	Alex Wurman	
Good night and Good luck		CLOONEY George	NB / Panavision / 93mn	2005 / USA	 / Wagner-Cuban Co / Participant Prod. (Grant Heslov)	dr. polit.	David Strathairn, George Clooney, Jeff Daniels, Robert Downey Jr., Frank Langella, Ray Wise, Robert John Burke, Reed Diamond, Tate Donovan, Grant Heslov, Tom McCarthy, Matt Ross, Alex Bornstein, Peter Jacobson, Robert Knepper, 	Patricia Clarkson, Rose Abdoo, Dianne Reeves, 	B. Solide mise en place historique, à laquelle on peut peut-être reprocher de fermer l'angle en ne s'intéressant que partiellement à la fin de carrière du sénateur, et de ne pas tenir complètement ses promesses en effleurant les mutations de la télé et les rapports avec le monde de l'argent et de l'entreprise. La mise en scène est assez dramatisée par l'utilisation d'éclairages durs (très belle photo !), peu en rapport avec la réalité de l'époque, et les contrepoints jazzy sont splendides mais pas toujours adaptés et assez artificiels. La camera se veut de reportage, ce qui est un peu artificiel aussi, mais l'utilisation des archives est intéressante. Malgré tous ces points faibles, le projet est noble et sérieux, les comédiens impeccables et le résultat court (1h20 ?!?), mais il reste en mémoire.	George Clooney + Grant Heslov		Robert Elswit		
Leatherheads		CLOONEY George	Coul.	2008 / USA	 U / / (Grant Heslov + Casey Silver)	com.	George Clooney, John Krasinski, Wayne Duvall, Jonathan Pryce, Stephen Root, Tim Griffin, Matt Bushell, Mark Teich, Keith Loneker, Robert Baker, Nick Paonessa, Jason Drago, Bill Roberson, 	Renee Zellweger, 	Bon. Vu d'avion, on reste sur sa faim : bonne reconstitution, mais scenario faible et peu intéressant pour l'Européen non amateur du genre (football américain). En tant que réalisateur, Clooney ne renouvelle certes pas le métier...	Duncan Brantley + Rick reilly		Newton Thomas Sigel	Randy Newman + trad.	
Ides of march (The)	Marches du pouvoir (Les)	CLOONEY George	Coul. / Panavision / 101mn	2011 / USA	 Cross Creek Pict. - Exclusive Media Group / Smoke house - Crystal City Ent. (G. Clooney + Grant Heslov + Bian Oliver)	dr. polit.	Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Jeffrey Wright, Max Minghella, Gregory Itzin, Michael Mantell, Yuriy Sardarov, 	Evan Rachel Wood, Marisa Tomei, Jennifer Ehle, Bella Ivory, Hayley Meyers, Maya Sayre, 	"B+. Le talent habituel du cinéma américain à mettre en scène sa politique intérieure avec intelligence, pas trop de complaisance, et une indéniable efficacité. Ce n'est pas ""Advise and consent"" de Preminger, mais le scenario est solide, les enjeux politiques et leur interfaçage avec les drames personnels bien dosés, et Gosling absolument fascinant. Clooney prend la position d'une manière honorable."	George Clooney + Grnt Heslov + Beau Willimon	"rom. ""Farragut North"" de Beau Willimon"	Phedon Papamichael	Alexandre Desplat	
Darker than amber	Loi du talion (La)	CLOUSE Robert	Coul.	1970 / USA	 / Major Films (Walter Seltzer)	pol.	Rod Taylor, Théodore Bikel, William Smith, Robert Philipps, James Booth, Oswaldo Calvo, James H. Frysinger, Harry A. Wood, 	Suzy Kendall, Jane Russel, Janet MacLachlan, Sherry Faber, Marcia Knight, 	B.	Ed Waters	rom. de John D. MacDonald	Frank Phillips	John Parker	
Game of death	Jeu de la mort (Le)	CLOUSE Robert	Coul.	1973 / USA	 / (Raymond Chow + Burce Lee)	karate	Bruce Lee, Kareem Abdul-Jabbar, Gig Young, Hugh O'Brian, Dean Jagger, Tai Chung Kim, Bill Yuen, Robert Wall, Mel Novak, James Tien, Danny Inosanto, 		Bon. Le film était à l'origine inachevé, du fait de la mort de B. Lee.	Bruce Lee + Jan Spears		Godfrey A. Godar	John Barry	
Enter the dragon	Opération Dragon	CLOUSE Robert	Coul.	1973 / USA	 / Weintraub-Heller-Chow	karate	Bruce Lee, John Saxon, Shih Kien, Jim Kelly, Bob Wall, Geoffrey Weeks, 	Ahna Capri, Angela Mao Ying, Betty Chung, 	"Bon-. A posteriori et en considérant les qualités de son relatif successeur, Jackie Chan, les mimiques de Lee sont ridicules et leur ""morale"" déteint sur la mise en scène, brutale, primaire et indigente."	Michael Allin		Gilbert Hubbs + Charles Law	Lalo Schifrin	
Black belt Jones		CLOUSE Robert	Coul.	1974 / USA	 / Sequoin Films (Paul M. Heller + fred Weintraub)	pol.	Jim Kelly, Scatman Crothers, Erci Laneuville, Alan weeks, Andre Philippe, Vincent Barbi, Mel Novak, Malik Carter, Alex A. Brown, 	Gloria Hendry, 	Bon.	Alex Ross + Fred Weintraub + Oscar Williams		Kent L. Wakeford	Dennis Coffey	
Homme fragile (L')		CLOUZOT Claire	Coul.	1980 / F	 / André de Blanzy + A2	com. dr.	Richard Berry, Didier Sauvegrain, Jacques Serres, Albert Dray, 	Françoise Lebrun, Catherine Cauwet, Sandrine Klajic, Louise Latraverse, Catherine Gandois, 	Bon+.B.	C. Clouzot		Jean Monsigny	Jean-Marie Senia	
Assassin habite au 21 (L')		CLOUZOT Henri-Georges	NB	1942 / F	2 / Continental Films	pol.	Pierre Fresnay, Pierre Larquey, Noël Roquevert, Jean Tissier, René Génin, André Gabriello, Raymond Bussières, René Blancard, Antoine Balpêtré, Henri Vilbert, Jean Despeaux, Lucien Blondeau, Léon Larive, Marc Natol, Marcel Pérès, Gustave Gallet, Maurice Salabert, André Varennes, Daniel Gélin, Martial Rèbes, 	Suzy Delair, Hughette Vivier, Odette Talazac, Maximilienne, Sylvette Saugé, 	TB.	H. G. Clouzot + S. A. Steeman	rom. de Stanislas-André Steeman	Armand Thirard	Maurice Yvain	
Corbeau (Le)		CLOUZOT Henri-Georges	NB	1943 / F	4 / Continental films	com. dr. pol.	Pierre Fresnay, Pierre Larquey, Antoine Balpêtré, Louis Seigner, Pierre Bertin, Noël Roquevert, Bernard Lancret, Roger Blin, Jean Brochard, Pierre Palau, Robert Clermont, Etienne Decroux, Gustave Vallet, P. Levasseur, Albert Malbert, Paul Barge, Eugène Ivernes, Albert Brouett, 	Ginette Leclerc, Micheline Francey, Héléna Manson, Jeanne Fusier-Gir, Sylvie, Liliane Maigne, Lucienne Bogaert, Palmyre Levasseur, Nicole Chollet, 	Exc. puis TB. La dureté lucide et sensible de Fresnay semble être le reflet de celle de Clouzot. Une noirceur misanthrope impressionnante qui laisse de la place à la sensibilité et l'espoir, dans une France issue d'un autre temps.	Louis Chavance + H. G. Clouzot		Nicolas Hayer	Tony Aubin	
Manon		CLOUZOT Henri-Georges	NB	1946 / F		dr.	Serge Reggiani, Michel Auclair, Andrex, Raymond Souplex, André Valmy, Henri Vilbert, Ardisson, Michel Bouquet, Robert Dalban, Jean Hebey, Temerson, 	Cécile Aubry, Gabrielle Dorziat, Héléna Manson, Simone Valère, Dora Doll, Gabrielle Fontan, Wanda Ottoni, Rosy Varte, 		Henry Georges Clouzot + J. Ferry	rom. de l'Abbé Prévost	Armand Thirard	Paul Misraki	
Quai des orfèvres		CLOUZOT Henri-Georges	NB	1946 / F	4 / Majestic Films	pol.	Louis Jouvet, Bernard Blier, Charles Dullin, René Blancard, Jean Daurand, Robert Dalban, Raymond Bussières, Jean Sinoël, François Joux, Paul Demange, Charles Blavette, Léo Lapara, Bob Ingarao, Jacques Grétillat, Jean Dunot, Fernand René, Jean Hebey, Numès fils, René Lacour, Michel Seldow, Henri Arius, Paul Temps, Frank Maurice, Joe Davray, Maurice Juniot, 	Suzy Delair, Simone Renant, Jeanne Fusier-Gir, Gilberte Géniat, Annette Poivre, Dora Doll, Claudine Dupuis, Palmyre Levasseur, Joëlle Bernard, Yvonne Ménard, Claire Olivier, 	TB.-B+.	H. G. Clouzot + J. Ferry	"rom. ""Légitime défense"" de S. A. Steeman"	Armand Thirard	Francis Lopez	
Miquette et sa mère		CLOUZOT Henri-Georges	NB / 95mn	1949 / F	/ Alcina - COICC - Simver Film Paul Joly)	com.	Louis Jouvet, André Bourvil, Saturnin Fabre, Louis Seigner, Philippe Nicaud, Maréchal, Henri Niel, Maurice Schultz, Jean Temerson, Olivier Hussenot, Georges Bever, Dandy, Pierre Olaf, Numès Fils, Paul Barge, Léon Larive, René Lacourt, Léonce Corne, Jean Berton, 	Danièle Delorme, Mireille Perrey, Pauline Carton, Jeanne Fusier-Gir, Madeleine Suffel, Joëlle Bernard, Josette Petot, Geneviève Morel, Solange Certain, Agnès Laury, Denise Provence, 	B. Comédie alerte et sans méchanceté (pour Clouzot), bien rythmée et parfaitement dialoguée, autour du théâtre et ses conventions face à celles de la vie bourgeoise. Jouvet et Fabre en font des tonnes pour notre plus grand plaisir.	Adapt. : Henri-Georges Clouzot + Jean Ferry	pièce de Robert de Flers + G. A. de Caillavet	Armand Thirard	airs 1900	
Salaire de la peur (Le)		CLOUZOT Henri-Georges	NB	1952 / F - I	3 / CICC-Filmsonor-Vera Films-Fono Roma	av. dr. 	Yves Montand, Charles Vanel, Folco Lulli, Peter Van Eyck, William Tubbs, Dario Moreno, Jo Dest, P. Centa, Pat Hurst, Jeronimo Mitchell, Grégoire Gromoff, Faustini, René Baranger, François Valorbe, Rico Zermeno, Joseph Palau-Fabre, Evelio Larenagas, 	Véra Clouzot, Miss Darling,	Exc.	H. G. Clouzot + Jérôme Géronimi	rom. de Georges Arnaud	Armand Thirard	Georges Auric	
Diaboliques (Les)		CLOUZOT Henri-Georges	NB	1954 / F	 / Filmsonor	dr.	Paul Meurisse, Charles Vanel, Jean Brochard, Pierre Larquey, Michel Serrault, Jacques Varennes, Georges Chamarat, Noël Roquevert, Robert Dalban, Yves-Marie Maurin, Jacques Hilling, Jean Lefèbvre, Georges Pujouly, Jean Temerson, Michel Dumur, Camille Guérini, Jean Clarieux, Roberto Acon Rodriguo, Henri Coutet, Jean Temerson, Henri Hiumbert, Jean-Pierre Bonnefous, Johnny Hallyday, Jimmy Urbain, Dominique Brun, 	Véra Clouzot, Simone Signoret, Thérèse Dorny, Aminda Montserrat, Madeleine Suffel, 	Exc.	H. G. Clouzot + Jérome Géronimi + Frédéric Grendel + René Masson	"""Celle qui n'était plus"" de Boileau et Narcejac"	Armand Thirard	Georges Van Parys	
Espions (Les)		CLOUZOT Henri-Georges	NB	1957 / F	 / Filmsonor (H.-G. Clouzot)	esp. pol. dr. 	Gérard Séty, Curd Jurgens, Peter Ustinov, Sam Jaffe, Paul Carpenter, O. E. Hasse, Louis Seigner, Pierre Larquey, Clément Harari, Bernard Lajarrige, Fernand Sardou, Sacha Pitoeff, Jean Brochard, Jacques Dufilho, Daniel Emilfork, Jean-Jacques Lecot, Robert Lombard, Patrick Maurin, Hubert Deschamps, Jacques Hilling, Jack Ary, Charles Bouillaud, Oscar Christophe, René Bergeron, José Davila, Henri Coutet, 	Véra Clouzot, Martita Hunt, Gabrielle Dorziat, Georgette Anys, Dominique Davray, Dominique Ney, 	Bon+. La noirceur paranoïaque de ce récit de complot généralisé est rendue rédhibitoire par l'absurde kafkaïen recherché, et l'on s'ennuie fermement jusqu'à la dernière demi-heure, qui prend enfin une ampleur plus humaine. La noirceur et le sadisme apparaissent gratuits, alors que la réalité de ces temps ne devait pas être trés éloignée. La mise en scène, les décors et la lumière sont par contre impressionnants de maîtrise. 	H.-G. Clouzot + Jérome Géronimi	"rom. ""Le vertige de minuit"" d'Egon Hostovsky"	Christian Matras	Georges Auric	
Vérité (La)		CLOUZOT Henri-Georges	NB	1960 / F - I	 / Iéna-CEIP- Han Prod. (Raoul Lévy)	dr.	Sami Frey, Charles Vanel, Paul Meurisse, Louis Seigner, Fernand Ledoux, André Oumansky, Jacques Perrin, René Blancard, Claude Berri, Jacques Hilling, Jean-Louis Reynolds, Louis Arbessier, Marcel Cuvelier, Marcel Delaitre, Hubert de Lapparent, Albert Michel, Charles Bouillaud, Jean Houbé, Marcel Loche, Francis Lemonnier, Jean Roucher, Louis Saintève, 	Brigitte Bardot, Marie-José Nat, Jacqueline Porel, Barbara Sohmer, Colette Castel, Suzy Willy, Jackie Rollin, Colette Régis, Germaine Delbat, Arlette Gleize, Simone Berthier, Betty Beckers, Claudine Berg, Jenny Doria, Yvonne Dany, 	Exc.	H. G. Clouzot + Véra Clouzot + Simone Drieu + Jérome Géronimi + Michèle Perrein		Armand Thirard		
Prisonnière (La)		CLOUZOT Henri-Georges	Coul.	1968 / F	 / Films Corona-Vera Films	dr.	Laurent Terzieff, Bernard Fresson, Daniel Rivière, Dario Moreno, Michel Piccoli, Charles Vanel, Claude Piéplu, Michel Etcheverry, Roger Van Hool, André Luguet, Charles Vanel, Jean Ozenne, Clément Thierry, André Tomasi, Pierre Richard, Jacques Ciron, Henri Garcin, Jean Gold, Pierre Vaudier, Maître Floriot, 	Elizabeth Wiener, Danny Carrel, Noëlle Adam, Germaine Delbat, Jackie Rollin, Gilberte Géniat, Béatrice Altariba, Joanna Shimkus, 	Exc.	H. G. Clouzot		Andréas Winding	Gilbert Amy + Iannis Xenakis + Webern	
Retour à la vie : Le retour de Jean		CLOUZOT Henri-Georges + LAMPIN Georges + CAYATTE André + DRÉVILLE Jean	NB	1948 / F	2 / Films Marceau (Jacques Roitfeld)	dr.	Louis Jouvet, Léo Lapara, Noël Roquevert, Jean Brochard, Maurice Schutz, Jo Dest, Louis Florencie, Georges Bever, Jean Sylvère, 	Monette Dinay, Jeanne Pérez, Germaine Stainval, Cécile Dylma, 	TB. Une dureté impitoyable et intelligente, qui aborde les vrais interrogations des prisonniers de l'époque, et du monde.	Henri-Georges Clouzot + Jean Ferry		Louis Page	Paul Misraki	
Deadline at dawn		CLURMAN Harold	NB / 86mn	1946 / USA	2 / RKO (Adrian Scoot)	pol. dr.	Bill Williams, Paul Lukas, Joseph Calleia, Jerome Cowan, Marvin Miller, Roman Bohnen, Steven Geray, Joe Sawyer, Joseph Crehan, 	Susan Hayward, Osa Masson, Lola Lane, Constance Worth, 	B+. Très juste et belle adaptation d'Irish, dans l'esprit, avec restitution admirable de son sens de l'atmosphère, de la ville nocturne, du désespoir des innocents broyés. Belle mise en scène, magnifique photo, unité de lieu et de temps. Malgré les éventuels défauts en partie dus aux prétentions du scenario et des dialogues, c'est un très intéressant film noir, et c'est d’autant plus à remarquer que c'est la seule réalisation de Clurman, metteur en scène sur Broaway. Les dialogues d'Odets (associé à Clurman au sein du Group Theatre), qui visent d'une manière trop voyante à la poésie et au symbolisme trop malin, n'arrivent pas complètement à gâcher la fascination certaine qui se dégage. Hayward, toute jeune (28 ans), est délicieuse et bien moins artificielle et fatigante que dans la suite de sa carrière. Lukas, Calleia et Miller sont impressionnants.	Clifford Odets	rom. de William Irish (=Cornell Woolrich)	Nicholas Musuraca	Hanns Eisler	
Belle et la Bête (La)		COCTEAU Jean	NB	1946 / F	2 / André Paulvé	com. dr.	Jean Marais, Marcel André, Michel Auclair, Raoul Marco, Noël Blin, Christian Marquand, 	Josette Day, Mila Parély, Nane Germon, 	TB. puis Bon+	J. Cocteau	conte de Mme Leprince de Beaumont	Henri Alekan	Georges Auric	
Aigle à deux têtes (L')		COCTEAU Jean	NB	1947 / F	 / Ariane-Sirius	dr.	Jean Marais, Jacques Varennes, Jean Debucourt, Maurice Nazil, Gilles Quéant, Edward Stirling, Ahmed Abdallah, Watson, Guy Favières, Roger Vincent, Claude Serre, André Darnay, Yves Massard, Édouqrd Dermithe, Victor Tabournot, 	Edwige Feuillère, Sylvia Monfort, Yvonne de Bray, Martine de Breteuil, Jacqueline Marbraux, Germaine Lefébure, Gisèle Brucker, Marguerite de Morlaye, 	?	J. Cocteau	sa pièce	Christian Matras	Georges Auric	
Parents terribles (Les)		COCTEAU Jean	NB	1948 / F	 / Ariane (Alexandre Mnouchkine + Francis Cosne)	dr.	Jean Marais, Marcel André, Jean Cocteau, 	Josette Day, Gabrielle Dorziat, Yvonne de Bray, 	TB.	J. Cocteau	sa pièce	Michel Kelber	Georges Auric	
Orphée		COCTEAU Jean	NB / 112mn	1950 / F	3 / Films du Palais Royal (André Paulvé)	dr.	Jean Marais, François Périer, Édouard Dhermite, Roger Blin, Henri Crémieux, Pierre Bertin, Jacques Varennes, André Carnège, René Worms, Paul Amiot, Jean-Pierre Melville, René Lacourt, Julien Maffre, Henri San-Juan, Claude Mauriac, Philippe Bordier, Jean-Pierre Mocky, Victor Tabournot, Jacques Doniol-Valcroze, 	Maria Casarès, Juliette Gréco, Marie Déa, Claude Borelli, Renée Cosima, 	"Génial, T.Beau puis B+. Le ton des comédiens est terriblement daté, sauf celui de Casarès, qui réussit par son talent à échapper à toute mode ; Marais est souvent fort beau mais fort mauvais (Gérard Philippe, qui avait été pressenti pour le rôle, eut été meilleur), et Cocteau n’a pas un réel sens de la direction d’acteurs. Pour autant, le film est une oeuvre de poète qui dégage une certaine fascination, même en s’appuyant sur des trucages maintenant éculés mais qui remplissent ici parfaitement leur fonction. Le choix des décors “outre Styx” sont eux aussi artistiquement datés, mais on peut supporter cette convention."	J. Cocteau		Nicholas Hayer	Georges Auric	
Testament d'Orphée (Le)		COCTEAU Jean	NB	1959 / F	 / Jean Thuillier	dr.	Jean Cocteau, François Périer, Henri Crémieux, Edouard Dermithe, Jean Marais, Charles Aznavour, Picasso, Yul Brynner, Daniel Gélin, Luis-Miguel Dominguin, Henri Torrès, Serge Lifar, Daniel Moosmann, Philippe Juzan, Guy Dute, Jean-Claude Petit, Gérard Chatelain, 	Maria Casarès, Lucia Bose, Françoise Sagan, Brigitte Bardot, Nicole Courcel, Claudine Auger, Alice Sapritch, Francine Weisweiler, Marie-Josèphe Yoyotte, Brigitte Morissan, Alice Heyliger, Michele Lemoig, 	"TB. 
Asstt réal. : Jack Pinoteau"	J. Cocteau		Roland Pontoiseau	Gluck + Haendel + Wagner	
Thousand clowns (A)		COE Fred	NB / 118mn	1965 / USA	 / Harrell Prod. (Fred Coe)	com.	Jason Robards, Barry Gordon, Martin Balsam, gene Saks, William Daniels, Phil Bruns, John MacMartin, 	Barbara Harris, 	"Bon. Une comédie intellectuelle bavarde, vaine et longue, tirée d'une pièce de la même eau. Les tentatives d'aérer le décor ne servent à rien et l'artificialité du récit n'en est que renforcée. Les comédiens, pourtant pour partie ceux de Broadway, sont des marionnettes qui s'agitent vainement sous la houlette d'un scénariste auto-satisfait ; pourtant, Balsam récoltera un Oscar pour son rôle. Le film a chez certains une grande réputation... les goûts et les couleurs..."	Herb Gardner	sa pièce sur Broadway	Arthur J. Omitz	Don Walker	
